Date,Description,Amount,Category
2024-06-03,Fast food at McDonald's,987.09,Food
2024-06-04,Gym membership,317.85,Fitness
2024-06-05,Online shopping at Amazon,704.92,Shopping
2024-06-06,Book purchase,785.46,Shopping
2024-06-07,Electricity bill,313.87,Utilities
2024-06-08,Fast food at McDonald's,755.39,Food
2024-06-09,Monthly broadband bill,431.0,Utilities
2024-06-10,Movie tickets at PVR,669.08,Entertainment
2024-06-11,Electricity bill,670.18,Utilities
2024-06-12,Coffee at Cafe Coffee Day,582.2,Food
2024-06-13,Monthly broadband bill,181.26,Utilities
2024-06-14,Movie tickets at PVR,851.77,Entertainment
2024-06-15,Dinner at Swiggy,388.7,Food
2024-06-16,Fast food at McDonald's,267.87,Food
2024-06-17,Lazypay transaction,136.7,Finance
2024-06-18,Creatine supplement,631.8,Fitness
2024-06-19,Dinner at Swiggy,709.81,Food
2024-06-20,Monthly broadband bill,114.93,Utilities
2024-06-21,Shopping at Myntra,560.88,Shopping
2024-06-22,Taxi fare,303.85,Transport
2024-06-23,Fast food at McDonald's,680.66,Food
2024-06-24,Creatine supplement,256.93,Fitness
2024-06-25,Petrol refuel,721.84,Transport
2024-06-26,Electricity bill,448.06,Utilities
2024-06-27,Movie tickets at PVR,943.06,Entertainment
2024-06-28,Online shopping at Amazon,223.77,Shopping
2024-06-29,Gym membership,406.96,Fitness
2024-06-30,Lazypay transaction,202.13,Finance
2024-07-01,Taxi fare,932.22,Transport
2024-07-02,Petrol refuel,889.61,Transport
2024-07-03,Shopping at Myntra,332.15,Shopping
2024-07-04,Lunch at Zomato,693.99,Food
2024-07-05,Creatine supplement,835.5,Fitness
2024-07-06,Petrol refuel,599.68,Transport
2024-07-07,Creatine supplement,576.69,Fitness
2024-07-08,Lazypay transaction,317.67,Finance
2024-07-09,Movie tickets at PVR,183.79,Entertainment
2024-07-10,Monthly broadband bill,907.49,Utilities
2024-07-11,Concert tickets,910.38,Entertainment
2024-07-12,Online shopping at Amazon,669.79,Shopping
2024-07-13,Creatine supplement,405.13,Fitness
2024-07-14,Taxi fare,414.29,Transport
2024-07-15,Lunch at Zomato,753.36,Food
2024-07-16,Dinner at Swiggy,907.4,Food
2024-07-17,Monthly broadband bill,898.38,Utilities
2024-07-18,Electricity bill,801.89,Utilities
